52	3	for?	see	For we saw his star in the east , and have come to worship him . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s52_0	
53	9	when?	trouble	When King Herod heard it , he was troubled , and all Jerusalem with him .	file://conllu/en/bibl.en_web.MAT.conllu#s53_0	
54	14	_	ask	Gathering together all the chief priests and scribes of the people , he asked them where the Christ would be born .	file://conllu/en/bibl.en_web.MAT.conllu#s54_0	
55	15	_	write (write say)	They said to him , &quot; In Bethlehem of Judea , for this is written through the prophet , ' You Bethlehem , land of Judah , are in no way least among the princes of Judah : for out of you shall come forth a governor , who shall shepherd my people , Israel . ' &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s55_0	
56	4	then?	call	Then Herod secretly called the wise men , and learned from them exactly what time the star appeared .	file://conllu/en/bibl.en_web.MAT.conllu#s56_0	
57	2	and?	send	He sent them to Bethlehem , and said , &quot; Go and search diligently for the young child .	file://conllu/en/bibl.en_web.MAT.conllu#s57_0	
58	7	when?	bring	When you have found him , bring me word , so that I also may come and worship him . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s58_0	
59	4	until?	hear	They , having heard the king , went their way ; and behold , the star , which they saw in the east , went before them , until it came and stood over where the young child was .	file://conllu/en/bibl.en_web.MAT.conllu#s59_0	
60	8	when?	rejoice	When they saw the star , they rejoiced with exceedingly great joy .	file://conllu/en/bibl.en_web.MAT.conllu#s60_0	
61	2	and?	come	They came into the house and saw the young child with Mary , his mother , and they fell down and worshiped him .	file://conllu/en/bibl.en_web.MAT.conllu#s61_0	
62	6	_	offer	Opening their treasures , they offered to him gifts : gold , frankincense , and myrrh .	file://conllu/en/bibl.en_web.MAT.conllu#s62_0	
63	2	_	warn	Being warned in a dream that they should n't return to Herod , they went back to their own country another way .	file://conllu/en/bibl.en_web.MAT.conllu#s63_0	
64	14	when?	appear	Now when they had departed , behold , an angel of the Lord appeared to Joseph in a dream , saying , &quot; Arise and take the young child and his mother , and flee into Egypt , and stay there until I tell you , for Herod will seek the young child to destroy him . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s64_0	
65	2	and?	arise	He arose and took the young child and his mother by night , and departed into Egypt , and was there until the death of Herod ; that it might be fulfilled which was spoken by the Lord through the prophet , saying , &quot; Out of Egypt I called my son . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s65_0	
66	16	when?	be (be angry)	Then Herod , when he saw that he was mocked by the wise men , was exceedingly angry , and sent out , and killed all the male children who were in Bethlehem and in all the surrounding countryside , from two years old and under , according to the exact time which he had learned from the wise men .	file://conllu/en/bibl.en_web.MAT.conllu#s66_0	
67	40	because?	comforte	Then that which was spoken by Jeremiah the prophet was fulfilled , saying , &quot; A voice was heard in Ramah , lamentation , weeping and great mourning , Rachel weeping for her children ; she would n't be comforted , because they are no more . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s67_0	
68	14	but?	appear	But when Herod was dead , behold , an angel of the Lord appeared in a dream to Joseph in Egypt , saying , &quot; Arise and take the young child and his mother , and go into the land of Israel , for those who sought the young child 's life are dead . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s68_0	
69	2	and?	arise	He arose and took the young child and his mother , and came into the land of Israel .	file://conllu/en/bibl.en_web.MAT.conllu#s69_0	
70	21	when?	be (be afraid)	But when he heard that Archelaus was reigning over Judea in the place of his father , Herod , he was afraid to go there .	file://conllu/en/bibl.en_web.MAT.conllu#s70_0	
71	2	and?	warn	Being warned in a dream , he withdrew into the region of Galilee , and came and lived in a city called Nazareth ; that it might be fulfilled which was spoken through the prophets :	file://conllu/en/bibl.en_web.MAT.conllu#s71_0	
72	5	_	call	&quot; He will be called a Nazarene . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s72_0	
73	8	_	come	In those days , John the Baptizer came , preaching in the wilderness of Judea , saying , &quot; Repent , for the Kingdom of Heaven is at hand ! &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s73_0	
