teddy-744.xlsx	en	raw	preanno/parcor_coref
teddy-744.xlsx	fr	raw	preanno/parcor_coref
teddy-807.xlsx	de	annotated raw	preanno/parcor_coref
teddy-807.xlsx	en	annotated raw	2023-ws/fb preanno/parcor_coref
teddy-807.xlsx	fr	annotated raw	preanno/parcor_coref
teddy-901.xlsx	de	raw	preanno/parcor_coref
teddy-901.xlsx	en	raw	preanno/parcor_coref
teddy-901.xlsx	fr	raw	preanno/parcor_coref
teddy-918.xlsx	de	annotated raw	preanno/parcor_coref
teddy-918.xlsx	en	annotated raw	2023-ws/fb preanno/parcor_coref
teddy-918.xlsx	fr	annotated raw	preanno/parcor_coref
teddy-953.xlsx	de	raw	preanno/parcor_coref
teddy-953.xlsx	en	raw	preanno/parcor_coref
ted-mdb.1927_broken-sentences.xlsx	de	annotated	team/tg
ted-mdb.1927.concllu.xlsx	en	annotated	2023-ss/ps
ted-mdb.1927.xlsx	de	annotated raw	team/sr
ted-mdb.1927.xlsx	en	annotated raw	2023-ss/cc
ted-mdb.1971_broken-sentences.xlsx	de	annotated	team/tg
ted-mdb.1971.xlsx	en	annotated	2023-ss/cc
ted-mdb.1976_broken-sentences.xlsx	de	annotated	team/tg
ted-mdb.1978_broken-sentences.xlsx	de	annotated	team/tg
ted-mdb.1978.xlsx	en	annotated	2023-ws/fb
ted-mdb.2009_broken-sentences.xlsx	de	annotated	team/tg
ted-mdb.2009.conllu ganz FERTIG.xlsx	en	annotated	2023-ss/ps
ted-mdb.2009.conllu.xlsx	en	annotated	2023-ss/eu
ted-mdb.2009.xlsx	en	annotated	2023-ws/jc
ted-mdb.2150_broken-sentences.xlsx	de	annotated	team/tg
ted-mdb.2150.conllu ganz FERTIG.xlsx	en	annotated	2023-ss/ps
ted-mdb.2150.xlsx	en	annotated	2023-ws/jc
template_doyle_bask_moderated.xlsx	en	annotated	2023-ws/jc
template_doyle_bask.xlsx	en	annotated	2023-ws/jc
